,Likes,Retweets,Text,User Location
43,0,0,"Wed Jan 20 2021 Portland, Oregon - Police pepper spray protesters walking away WATCH: https://t.co/qUtHcj1wG3… https://t.co/UgQVzZPelH",
44,0,0,"https://t.co/Pv7Of1Nrq4

https://t.co/TUbmdUlxMw

https://t.co/6KrArReA93 

https://t.co/JhhMFecA6g… https://t.co/Ky1JlryKs2",
45,0,0,"@SenTedCruz [Remember this? #BLM]
https://t.co/lxVZb4uTNi","Seattle, WA"
46,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,refugee stuck in california
47,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
48,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
49,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
50,0,0,"@SenTedCruz [Remember this? #BLM]
https://t.co/YjLWeoAFnU","Seattle, WA"
51,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
52,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,United States
53,0,0,"@McCache33 @GeorgeTakei Democrats PROVIDE TALIBAN TERRORISTS over 300,000 U.S. Military weapons in Afghanistan! Got… https://t.co/2DYmNYEEEX",
54,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,New York
55,1,0,"@Michael20224 Remember #BLM , lol",Burlington Ky
56,0,0,"RT @Nezahua80863167: #Blackpeople we ain't #racist:
Also them:
#NativeAmericans
#BlackLivesMatter #Blm #BlackOwned #BlackOwnedBusiness #Bla…",
57,0,0,"RT @Nezahua80863167: #Blackpeople we ain't #racist:
Also them:
#NativeAmericans
#BlackLivesMatter #Blm #BlackOwned #BlackOwnedBusiness #Bla…",
58,0,0,"RT @Nezahua80863167: #Blackpeople we ain't #racist:
Also them:
#NativeAmericans
#BlackLivesMatter #Blm #BlackOwned #BlackOwnedBusiness #Bla…",
59,1,3,"#Blackpeople we ain't #racist:
Also them:
#NativeAmericans
#BlackLivesMatter #Blm #BlackOwned #BlackOwnedBusiness… https://t.co/jEwHGPTHHa",United States
60,0,0,"RT @Jquags1: You can claim that the police are a systematically racist institution that needs to be reimagined, defunded or abolished.

You…",United States
61,0,0,"RT @nikkansports: 試合開始前信じられないような出来事　イングランド選手のBLM賛同に子どもたちからブーイング
#UEFAネーションズリーグ #NationsLeague #UNL #BLM https://t.co/skk6TizbEG",ITALIA
62,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
63,0,0,"RT @Nezahua80863167: #Blackpeople we ain't #racist:
Also them:
#NativeAmericans
#BlackLivesMatter #Blm #BlackOwned #BlackOwnedBusiness #Bla…",
64,0,0,"RT @Nezahua80863167: #Blackpeople we ain't #racist:
Also them:
#NativeAmericans
#BlackLivesMatter #Blm #BlackOwned #BlackOwnedBusiness #Bla…",
65,0,2,"#Blackpeople we ain't #racist:
Also them:
#NativeAmericans
#BlackLivesMatter #Blm #BlackOwned #BlackOwnedBusiness… https://t.co/OfSL7l0Xsp",United States
66,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,USA
67,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
68,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
69,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
70,0,0,"@ChristieSmythe Democrats PROVIDE TALIBAN TERRORISTS over 300,000 U.S. Military weapons in Afghanistan! Got 13 sold… https://t.co/Nbq1B5Pc1e",
71,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
72,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Plainfield, IL"
73,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Pine, AZ"
74,0,0,@MikeGriffiths17 #abortionrights #AbortionIsHealthcare #ProChoice #AbortionRightsAreHumanRights… https://t.co/ABaQcw8fn7,
75,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
76,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Oregon, USA"
77,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,USA
78,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,United States
79,2,1,"You can claim that the police are a systematically racist institution that needs to be reimagined, defunded or abol… https://t.co/Y6UjK9e2VD",
80,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
81,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Kaufman County, TX"
82,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Zurich, Venice, Paris"
83,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Auburn, AL"
84,0,0,"#QueenOfSoul  assurance of her safety to Mrs. Goddard, and notice of there  #democrat  #sgp #BLM #RussiaGate https://t.co/LwEgL9VZ3b",
85,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,Texas
86,0,0,@MikeGriffiths17 #abortionrights #AbortionIsHealthcare #ProChoice #AbortionRightsAreHumanRights… https://t.co/neTnBZqvE2,
87,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Lacey, WA"
88,0,0,@MikeGriffiths17 #abortionrights #AbortionIsHealthcare #ProChoice #AbortionRightsAreHumanRights… https://t.co/BeGUqWGl4t,
89,0,0,"@SenTedCruz [Remember this? #BLM]
https://t.co/HfoKCezwei","Seattle, WA"
90,0,0,"RT @BLACKLANEWS: Two years ago, @Slausongirlnews was in Minneapolis, Minnesota during the George Floyd protest. As an independent journalis…","K-Town x Neo-Tokyo, CA"
91,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,FUKN AMERICA!!
92,0,0,"RT @ctartworld: Beyoncé🐝
(how I did it: https://t.co/7if3lsFUpJ )
#artoftheday #art #artwork #draw #drawing #illustration #fanart #artsy #p…",
